Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
5366729,1/1/2024,12:00 AM,60,0.625,,0.625
5366729,1/1/2024,1:00 AM,60,0.62,,0.62
5366729,1/1/2024,2:00 AM,60,0.69,,0.69
5366729,1/1/2024,3:00 AM,60,0.56,,0.56
5366729,1/1/2024,4:00 AM,60,0.745,,0.745
5366729,1/1/2024,5:00 AM,60,0.745,,0.745
5366729,1/1/2024,6:00 AM,60,0.485,,0.485
5366729,1/1/2024,7:00 AM,60,0.285,,0.285
5366729,1/1/2024,8:00 AM,60,0.27,,0.27
5366729,1/1/2024,9:00 AM,60,0.13,,0.13
5366729,1/1/2024,10:00 AM,60,0.49,,0.49
5366729,1/1/2024,11:00 AM,60,0.365,,0.365
5366729,1/1/2024,12:00 PM,60,0.595,,0.595
5366729,1/1/2024,1:00 PM,60,1.3,,1.3
5366729,1/1/2024,2:00 PM,60,0.38,,0.38
5366729,1/1/2024,3:00 PM,60,0.5,,0.5
5366729,1/1/2024,4:00 PM,60,0.265,,0.265
5366729,1/1/2024,5:00 PM,60,0.78,,0.78
5366729,1/1/2024,6:00 PM,60,0.805,,0.805
5366729,1/1/2024,7:00 PM,60,0.45,,0.45
5366729,1/1/2024,8:00 PM,60,0.62,,0.62
5366729,1/1/2024,9:00 PM,60,0.685,,0.685
5366729,1/1/2024,10:00 PM,60,0.745,,0.745
5366729,1/1/2024,11:00 PM,60,0.565,,0.565
5366729,1/2/2024,12:00 AM,60,0.765,,0.765
5366729,1/2/2024,1:00 AM,60,0.845,,0.845
5366729,1/2/2024,2:00 AM,60,0.865,,0.865
5366729,1/2/2024,3:00 AM,60,0.915,,0.915
5366729,1/2/2024,4:00 AM,60,0.77,,0.77
5366729,1/2/2024,5:00 AM,60,0.81,,0.81
5366729,1/2/2024,6:00 AM,60,1.005,,1.005
5366729,1/2/2024,7:00 AM,60,1.085,,1.085
5366729,1/2/2024,8:00 AM,60,0.835,,0.835
5366729,1/2/2024,9:00 AM,60,0.91,,0.91
5366729,1/2/2024,10:00 AM,60,0.865,,0.865
5366729,1/2/2024,11:00 AM,60,0.44,,0.44
5366729,1/2/2024,12:00 PM,60,1.16,,1.16
5366729,1/2/2024,1:00 PM,60,1.015,,1.015
5366729,1/2/2024,2:00 PM,60,0.37,,0.37
5366729,1/2/2024,3:00 PM,60,0.23,,0.23
5366729,1/2/2024,4:00 PM,60,0.405,,0.405
5366729,1/2/2024,5:00 PM,60,0.435,,0.435
5366729,1/2/2024,6:00 PM,60,1.345,,1.345
5366729,1/2/2024,7:00 PM,60,0.87,,0.87
5366729,1/2/2024,8:00 PM,60,0.62,,0.62
5366729,1/2/2024,9:00 PM,60,0.45,,0.45
5366729,1/2/2024,10:00 PM,60,0.485,,0.485
5366729,1/2/2024,11:00 PM,60,0.36,,0.36
5366729,1/3/2024,12:00 AM,60,0.54,,0.54
5366729,1/3/2024,1:00 AM,60,0.5,,0.5
5366729,1/3/2024,2:00 AM,60,0.445,,0.445
5366729,1/3/2024,3:00 AM,60,0.475,,0.475
5366729,1/3/2024,4:00 AM,60,0.49,,0.49
5366729,1/3/2024,5:00 AM,60,0.435,,0.435
5366729,1/3/2024,6:00 AM,60,0.525,,0.525
5366729,1/3/2024,7:00 AM,60,0.605,,0.605
5366729,1/3/2024,8:00 AM,60,0.575,,0.575
5366729,1/3/2024,9:00 AM,60,0.86,,0.86
5366729,1/3/2024,10:00 AM,60,0.435,,0.435
5366729,1/3/2024,11:00 AM,60,0.69,,0.69
5366729,1/3/2024,12:00 PM,60,0.88,,0.88
5366729,1/3/2024,1:00 PM,60,0.56,,0.56
5366729,1/3/2024,2:00 PM,60,0.635,,0.635
5366729,1/3/2024,3:00 PM,60,0.65,,0.65
5366729,1/3/2024,4:00 PM,60,0.785,,0.785
5366729,1/3/2024,5:00 PM,60,1.235,,1.235
5366729,1/3/2024,6:00 PM,60,0.41,,0.41
5366729,1/3/2024,7:00 PM,60,0.45,,0.45
5366729,1/3/2024,8:00 PM,60,0.545,,0.545
5366729,1/3/2024,9:00 PM,60,0.3,,0.3
5366729,1/3/2024,10:00 PM,60,0.485,,0.485
5366729,1/3/2024,11:00 PM,60,0.49,,0.49
5366729,1/4/2024,12:00 AM,60,0.615,,0.615
5366729,1/4/2024,1:00 AM,60,0.54,,0.54
5366729,1/4/2024,2:00 AM,60,0.71,,0.71
5366729,1/4/2024,3:00 AM,60,0.735,,0.735
5366729,1/4/2024,4:00 AM,60,0.665,,0.665
5366729,1/4/2024,5:00 AM,60,0.685,,0.685
5366729,1/4/2024,6:00 AM,60,0.84,,0.84
5366729,1/4/2024,7:00 AM,60,0.755,,0.755
5366729,1/4/2024,8:00 AM,60,0.72,,0.72
5366729,1/4/2024,9:00 AM,60,1.1,,1.1
5366729,1/4/2024,10:00 AM,60,0.8,,0.8
5366729,1/4/2024,11:00 AM,60,0.76,,0.76
5366729,1/4/2024,12:00 PM,60,0.78,,0.78
5366729,1/4/2024,1:00 PM,60,0.615,,0.615
5366729,1/4/2024,2:00 PM,60,0.185,,0.185
5366729,1/4/2024,3:00 PM,60,0.34,,0.34
5366729,1/4/2024,4:00 PM,60,0.315,,0.315
5366729,1/4/2024,5:00 PM,60,0.17,,0.17
5366729,1/4/2024,6:00 PM,60,0.16,,0.16
5366729,1/4/2024,7:00 PM,60,0.13,,0.13
5366729,1/4/2024,8:00 PM,60,1.32,,1.32
5366729,1/4/2024,9:00 PM,60,0.79,,0.79
5366729,1/4/2024,10:00 PM,60,0.705,,0.705
5366729,1/4/2024,11:00 PM,60,0.85,,0.85
5366729,1/5/2024,12:00 AM,60,0.835,,0.835
5366729,1/5/2024,1:00 AM,60,0.71,,0.71
5366729,1/5/2024,2:00 AM,60,0.79,,0.79
5366729,1/5/2024,3:00 AM,60,0.815,,0.815
5366729,1/5/2024,4:00 AM,60,0.85,,0.85
5366729,1/5/2024,5:00 AM,60,0.895,,0.895
5366729,1/5/2024,6:00 AM,60,0.95,,0.95
5366729,1/5/2024,7:00 AM,60,1.225,,1.225
5366729,1/5/2024,8:00 AM,60,0.995,,0.995
5366729,1/5/2024,9:00 AM,60,1.1,,1.1
5366729,1/5/2024,10:00 AM,60,0.605,,0.605
5366729,1/5/2024,11:00 AM,60,0.61,,0.61
5366729,1/5/2024,12:00 PM,60,0.35,,0.35
5366729,1/5/2024,1:00 PM,60,0.27,,0.27
5366729,1/5/2024,2:00 PM,60,0.275,,0.275
5366729,1/5/2024,3:00 PM,60,0.11,,0.11
5366729,1/5/2024,4:00 PM,60,1.22,,1.22
5366729,1/5/2024,5:00 PM,60,1.545,,1.545
5366729,1/5/2024,6:00 PM,60,0.275,,0.275
5366729,1/5/2024,7:00 PM,60,0.59,,0.59
5366729,1/5/2024,8:00 PM,60,0.56,,0.56
5366729,1/5/2024,9:00 PM,60,0.565,,0.565
5366729,1/5/2024,10:00 PM,60,0.715,,0.715
5366729,1/5/2024,11:00 PM,60,0.52,,0.52
5366729,1/6/2024,12:00 AM,60,0.765,,0.765
5366729,1/6/2024,1:00 AM,60,0.785,,0.785
5366729,1/6/2024,2:00 AM,60,0.78,,0.78
5366729,1/6/2024,3:00 AM,60,0.91,,0.91
5366729,1/6/2024,4:00 AM,60,1.03,,1.03
5366729,1/6/2024,5:00 AM,60,1.03,,1.03
5366729,1/6/2024,6:00 AM,60,1.23,,1.23
5366729,1/6/2024,7:00 AM,60,1.085,,1.085
5366729,1/6/2024,8:00 AM,60,1.13,,1.13
5366729,1/6/2024,9:00 AM,60,1.185,,1.185
5366729,1/6/2024,10:00 AM,60,0.87,,0.87
5366729,1/6/2024,11:00 AM,60,0.42,,0.42
5366729,1/6/2024,12:00 PM,60,0.13,,0.13
5366729,1/6/2024,1:00 PM,60,0.215,,0.215
5366729,1/6/2024,2:00 PM,60,0.395,,0.395
5366729,1/6/2024,3:00 PM,60,0.315,,0.315
5366729,1/6/2024,4:00 PM,60,0.255,,0.255
